contract_id,payload_id,seed,scenario,audit_key_id,expected_payload_id,query_budget,scheduled_frames,accepted,accepted_frame_count,decode_status,result_claim
qwen_v2_wp4_P00_seed17_prompt_local_16slot,P00,17,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P00,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed17_prompt_local_16slot,P00,17,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,8,8,True,8,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P00,8,8,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,8,8,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,16,16,True,16,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P00,16,16,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,16,16,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,32,32,True,32,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P00,32,32,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,32,32,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,64,64,True,64,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P00,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P00_seed23_prompt_local_16slot,P00,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,8,8,True,8,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,8,8,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,8,8,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,16,16,True,16,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,16,16,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,16,16,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,32,32,True,32,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,32,32,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,32,32,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,64,64,True,64,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed17_prompt_local_16slot,P01,17,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,8,8,True,8,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,8,8,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,8,8,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,16,16,True,16,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,16,16,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,16,16,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,32,32,True,32,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,32,32,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,32,32,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,target_oracle,qwen_v2_wp4_audit_key_seeded_v1,P01,64,64,True,64,decoded_frame_accept,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_key_oracle,qwen_v2_wp4_wrong_key_00,P01,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
qwen_v2_wp4_P01_seed23_prompt_local_16slot,P01,23,wrong_payload_oracle,qwen_v2_wp4_audit_key_seeded_v1,P00,64,64,False,0,decoded_frame_reject,wp4_decoder_oracle_not_payload_recovery_not_far
