case_id,family_id,family_slug,family_description,generation_prompt,payload,seed,case_root,source_stage,source_kind,train_summary_path,eval_summary_path,training_health_path,status,accepted,verifier_success,decoded_payload,decoded_payload_correct,numerically_healthy,match_ratio,train_run_id,eval_run_id,final_loss,included
PF1_U12_s29,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U12,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29,compiled-c3-r3,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T032232417707Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r3/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T032232417707Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T032232417707Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z,0.000126,True
PF1_U15_s29,PF1,pf1,Current deterministic exact-slot prompt family.,Select exactly one allowed carrier token.,U15,29,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29,compiled-c3-r2,reused,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230423357094Z/train_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z/eval_summary.json,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/batch28b_qwen7b_c3r2/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230423357094Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230423357094Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z,0.000126,True
PF2_U00_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U00,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457622161Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428190177Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457622161Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457622161Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428190177Z,6e-06,True
PF2_U03_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U03,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457662002Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428223076Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457662002Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457662002Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428223076Z,6e-06,True
PF2_U12_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U12,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457686636Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428261048Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457686636Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457686636Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428261048Z,6e-06,True
PF2_U15_s17,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U15,17,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457709625Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428285750Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s17/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457709625Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T190457709625Z,exp_eval__our_method__qwen2.5-7b-instruct__s17__51bb13d__20260423T195428285750Z,6e-06,True
PF2_U00_s23,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U00,23,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457733280Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428307689Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457733280Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457733280Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428307689Z,6e-06,True
PF2_U03_s23,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U03,23,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s23,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457755862Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428328618Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457755862Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457755862Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428328618Z,6e-06,True
PF2_U12_s23,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U12,23,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s23,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457779299Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428349747Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457779299Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457779299Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428349747Z,6e-06,True
PF2_U15_s23,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U15,23,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s23,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457802603Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s23/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428371034Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s23/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457802603Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T190457802603Z,exp_eval__our_method__qwen2.5-7b-instruct__s23__51bb13d__20260423T195428371034Z,6e-06,True
PF2_U00_s29,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U00,29,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s29,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457826711Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428403382Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U00_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457826711Z/training_health.json,accepted_included,True,True,U00,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457826711Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428403382Z,5.1e-05,True
PF2_U03_s29,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U03,29,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s29,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457849440Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428432880Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U03_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457849440Z/training_health.json,accepted_included,True,True,U03,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457849440Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428432880Z,5.1e-05,True
PF2_U12_s29,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U12,29,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s29,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457873125Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428454931Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U12_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457873125Z/training_health.json,accepted_included,True,True,U12,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457873125Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428454931Z,5.1e-05,True
PF2_U15_s29,PF2,pf2,Semantically equivalent delimiter-varied prompt family.,Select exactly one allowed carrier token | return only the carrier value.,U15,29,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s29,G2,new,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457896089Z/train_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s29/runs/exp_eval/exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428476646Z/eval_summary.json,/home/guanjie.lin001/tokenizer-evidence/g2_qwen7b_prompt_family_scale/pf2/U15_s29/runs/exp_train/exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457896089Z/training_health.json,accepted_included,True,True,U15,True,True,1.0,exp_train__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T190457896089Z,exp_eval__our_method__qwen2.5-7b-instruct__s29__51bb13d__20260423T195428476646Z,5.1e-05,True
