run_id,case_id,block_count,seed,payload,block_index,field_name,expected_bucket,decoded_bucket,expected_token,generated_token,slot_correct,bucket_correct,exact_token_correct,target_bucket_mass,target_token_probability,top_5_tokens,top_5_probs,margin_to_best_wrong_bucket,diagnostic_source
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z,B1_U03_s23,1,23,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430079794Z,B1_U03_s23,1,23,U03,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z,B1_U12_s23,1,23,U12,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430101493Z,B1_U12_s23,1,23,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z,B1_U15_s23,1,23,U15,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430123654Z,B1_U15_s23,1,23,U15,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z,B1_U00_s29,1,29,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430149261Z,B1_U00_s29,1,29,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z,B1_U03_s29,1,29,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430171366Z,B1_U03_s29,1,29,U03,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430194320Z,B1_U12_s29,1,29,U12,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430194320Z,B1_U12_s29,1,29,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430216162Z,B1_U15_s29,1,29,U15,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__868cd9f__20260424T125430216162Z,B1_U15_s29,1,29,U15,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z,B2_U00_s17,2,17,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z,B2_U00_s17,2,17,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z,B2_U00_s17,2,17,U00,1,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107598449Z,B2_U00_s17,2,17,U00,1,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z,B2_U03_s17,2,17,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z,B2_U03_s17,2,17,U03,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z,B2_U03_s17,2,17,U03,1,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145107889702Z,B2_U03_s17,2,17,U03,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z,B2_U12_s17,2,17,U12,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z,B2_U12_s17,2,17,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z,B2_U12_s17,2,17,U12,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108177529Z,B2_U12_s17,2,17,U12,1,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z,B2_U15_s17,2,17,U15,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z,B2_U15_s17,2,17,U15,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z,B2_U15_s17,2,17,U15,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__3165a68__20260421T145108472357Z,B2_U15_s17,2,17,U15,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z,B2_U00_s23,2,23,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z,B2_U00_s23,2,23,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z,B2_U00_s23,2,23,U00,1,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260420T230401310766Z,B2_U00_s23,2,23,U00,1,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045000580189Z,B2_U03_s23,2,23,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045000580189Z,B2_U03_s23,2,23,U03,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045000580189Z,B2_U03_s23,2,23,U03,1,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045000580189Z,B2_U03_s23,2,23,U03,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045010162257Z,B2_U12_s23,2,23,U12,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045010162257Z,B2_U12_s23,2,23,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045010162257Z,B2_U12_s23,2,23,U12,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__e1a9857__20260421T045010162257Z,B2_U12_s23,2,23,U12,1,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260421T004320265591Z,B2_U15_s23,2,23,U15,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260421T004320265591Z,B2_U15_s23,2,23,U15,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260421T004320265591Z,B2_U15_s23,2,23,U15,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__73035dc__20260421T004320265591Z,B2_U15_s23,2,23,U15,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230401606944Z,B2_U00_s29,2,29,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230401606944Z,B2_U00_s29,2,29,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230401606944Z,B2_U00_s29,2,29,U00,1,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260420T230401606944Z,B2_U00_s29,2,29,U00,1,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045000886274Z,B2_U03_s29,2,29,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045000886274Z,B2_U03_s29,2,29,U03,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045000886274Z,B2_U03_s29,2,29,U03,1,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045000886274Z,B2_U03_s29,2,29,U03,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z,B2_U12_s29,2,29,U12,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z,B2_U12_s29,2,29,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z,B2_U12_s29,2,29,U12,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__e1a9857__20260421T045010467146Z,B2_U12_s29,2,29,U12,1,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z,B2_U15_s29,2,29,U15,0,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z,B2_U15_s29,2,29,U15,0,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z,B2_U15_s29,2,29,U15,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s29__73035dc__20260421T004320555566Z,B2_U15_s29,2,29,U15,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,2,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,3,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430237795Z,B4_U00_s17,4,17,U00,3,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,2,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,3,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430259969Z,B4_U03_s17,4,17,U03,3,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,2,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,3,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430281283Z,B4_U12_s17,4,17,U12,3,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,2,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,3,SECTION,3,missing,update,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s17__868cd9f__20260424T125430302597Z,B4_U15_s17,4,17,U15,3,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,2,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,3,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430324051Z,B4_U00_s23,4,23,U00,3,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,2,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,3,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430350437Z,B4_U03_s23,4,23,U03,3,TOPIC,3,missing,science,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430381415Z,B4_U12_s23,4,23,U12,0,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430381415Z,B4_U12_s23,4,23,U12,0,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430381415Z,B4_U12_s23,4,23,U12,1,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430381415Z,B4_U12_s23,4,23,U12,1,TOPIC,0,missing,market,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
exp_eval__our_method__qwen2.5-7b-instruct__s23__868cd9f__20260424T125430381415Z,B4_U12_s23,4,23,U12,2,SECTION,0,missing,news,missing,missing,missing,missing,missing,missing,missing,missing,missing,expected_contract_only
