figure_id,scenario_id,scenario_title,method_family,evidence_substrate,current_assessment,substrate_available,current_evidence,primary_blocker,claim_scope,next_experiment
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,current public final-text predicates are spoofable; no statistical watermark benchmark adopted,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,signed_metadata,metadata_signature,UNTESTED_NEEDS_SIGNATURE_PROTOCOL,yes,"current trace binding is hash/consistency binding, not HMAC/signed provenance",metadata signing and chain-of-custody not implemented in current artifacts,scenario stress test only; no paper-facing positive claim,design signed metadata or HMAC trace-binding route
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,FAILS_NO_API_OR_MODEL_ACCESS,no,no suspect-model query substrate,cannot test model behavior from copied text alone,scenario stress test only; no paper-facing positive claim,none for copied final text
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,provider_side_trace,provider_generation_log,SUPPORTED_TRACE_BOUND_DIAGNOSTIC,yes,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,not portable to final text without provider-side trace,scenario stress test only; no paper-facing positive claim,trace integrity/signing protocol if provenance claim is needed
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,first_divergence_diagnostic,tokenizer_native_provider_trace_event,SUPPORTED_TRACE_BOUND_DIAGNOSTIC,yes,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,not portable to final text without provider-side trace,scenario stress test only; no paper-facing positive claim,trace integrity/signing protocol if provenance claim is needed
figure_5_ownership_scenario_heatmap,S2_cooperative_provider_with_trace_bundle,Cooperative provider with trace bundle,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_PUBLIC_PREDICATE_SPOOFABLE,yes,public final-text codeword recovered blocks total = 0,public predicate does not recover codeword and is searchable/rewriteable,scenario stress test only; no paper-facing positive claim,distillation-lite spoofing only if stronger public-predicate attack is needed
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,statistical_watermark,final_text_statistical_distribution,FAILS_NO_FINAL_TEXT_SUBSTRATE,no,final-text distribution unavailable,statistical text substrate unavailable,scenario stress test only; no paper-facing positive claim,none for this scenario
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,FAILS_NO_FINAL_TEXT_SUBSTRATE,no,final-text distribution unavailable,statistical text substrate unavailable,scenario stress test only; no paper-facing positive claim,none for this scenario
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,signed_metadata,metadata_signature,FAILS_METADATA_STRIPPED,no,metadata substrate unavailable,metadata does not travel with this scenario,scenario stress test only; no paper-facing positive claim,none unless scenario changes
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,UNTESTED_API_DEPENDENT,yes,current artifacts do not evaluate suspect-model challenge prompts,requires API access and separate fingerprint/trigger tests,scenario stress test only; no paper-facing positive claim,API-only behavioral challenge suite if this scenario becomes active
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,provider_side_trace,provider_generation_log,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,first_divergence_diagnostic,tokenizer_native_provider_trace_event,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S3_non_cooperative_api_only_suspect_model,Non-cooperative API-only suspect model,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_NO_FINAL_TEXT_SUBSTRATE,no,public final-text codeword recovered blocks total = 0,final text is not the evidence substrate in this scenario,scenario stress test only; no paper-facing positive claim,none for final-text predicate
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,statistical_watermark,final_text_statistical_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,current public final-text predicates are spoofable; no statistical watermark benchmark adopted,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,current public final-text predicates are spoofable; no statistical watermark benchmark adopted,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,signed_metadata,metadata_signature,FAILS_METADATA_STRIPPED,no,metadata substrate unavailable,metadata does not travel with this scenario,scenario stress test only; no paper-facing positive claim,none unless scenario changes
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,FAILS_NO_API_OR_MODEL_ACCESS,no,no suspect-model query substrate,cannot test model behavior from copied text alone,scenario stress test only; no paper-facing positive claim,none for copied final text
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,provider_side_trace,provider_generation_log,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,first_divergence_diagnostic,tokenizer_native_provider_trace_event,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S4_copy_paste_text_without_metadata,Copy-paste text without metadata,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_PUBLIC_PREDICATE_SPOOFABLE,yes,public final-text codeword recovered blocks total = 0,public predicate does not recover codeword and is searchable/rewriteable,scenario stress test only; no paper-facing positive claim,distillation-lite spoofing only if stronger public-predicate attack is needed
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,statistical_watermark,final_text_statistical_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,rewrite/postprocess scenario requires robustness not shown by current public-predicate artifacts,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,rewrite/postprocess scenario requires robustness not shown by current public-predicate artifacts,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,signed_metadata,metadata_signature,FAILS_METADATA_STRIPPED,no,metadata substrate unavailable,metadata does not travel with this scenario,scenario stress test only; no paper-facing positive claim,none unless scenario changes
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,FAILS_NO_API_OR_MODEL_ACCESS,no,no suspect-model query substrate,cannot test model behavior from copied text alone,scenario stress test only; no paper-facing positive claim,none for copied final text
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,provider_side_trace,provider_generation_log,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,first_divergence_diagnostic,tokenizer_native_provider_trace_event,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S5_post_processed_or_rewritten_output,Post-processed or rewritten output,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_PUBLIC_PREDICATE_SPOOFABLE,yes,public final-text codeword recovered blocks total = 0,rewrite-lite attack creates source-mismatch accepts,scenario stress test only; no paper-facing positive claim,distillation-lite spoofing only if stronger public-predicate attack is needed
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,statistical_watermark,final_text_statistical_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,rewrite/postprocess scenario requires robustness not shown by current public-predicate artifacts,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,UNTESTED_AND_AT_RISK_UNDER_CURRENT_SPOOFING_RECORD,yes,FAIL_VISIBLE_TEMPLATE_LEAKAGE_OR_FORMAT_SCRUB_DUPLICATES; rejection/rewrite spoofing recorded,rewrite/postprocess scenario requires robustness not shown by current public-predicate artifacts,scenario stress test only; no paper-facing positive claim,"only benchmark if framed as related-method comparison, not current route success"
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,signed_metadata,metadata_signature,CONDITIONAL_METADATA_SUBSTRATE_NOT_ASSUMED,maybe,metadata may exist but is not guaranteed to preserve upstream provenance,wrapper/proxy metadata preservation and signing policy not specified,scenario stress test only; no paper-facing positive claim,wrapper metadata preservation and signature chain design
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,UNTESTED_API_DEPENDENT,yes,current artifacts do not evaluate suspect-model challenge prompts,requires API access and separate fingerprint/trigger tests,scenario stress test only; no paper-facing positive claim,API-only behavioral challenge suite if this scenario becomes active
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,provider_side_trace,provider_generation_log,CONDITIONAL_TRACE_SUBSTRATE_NOT_ASSUMED,maybe,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,"wrapper/proxy may strip, transform, or fail to preserve provider-side trace",scenario stress test only; no paper-facing positive claim,wrapper trace-preservation and chain-of-custody protocol
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,first_divergence_diagnostic,tokenizer_native_provider_trace_event,CONDITIONAL_TRACE_SUBSTRATE_NOT_ASSUMED,maybe,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,"wrapper/proxy may strip, transform, or fail to preserve provider-side trace",scenario stress test only; no paper-facing positive claim,wrapper trace-preservation and chain-of-custody protocol
figure_5_ownership_scenario_heatmap,S6_wrapper_model_proxying_another_model,Wrapper or proxy model,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_PUBLIC_PREDICATE_SPOOFABLE,yes,public final-text codeword recovered blocks total = 0,rewrite-lite attack creates source-mismatch accepts,scenario stress test only; no paper-facing positive claim,distillation-lite spoofing only if stronger public-predicate attack is needed
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,statistical_watermark,final_text_statistical_distribution,FAILS_NO_FINAL_TEXT_SUBSTRATE,no,final-text distribution unavailable,statistical text substrate unavailable,scenario stress test only; no paper-facing positive claim,none for this scenario
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,publicly_detectable_watermark,public_detection_protocol_and_text_distribution,FAILS_NO_FINAL_TEXT_SUBSTRATE,no,final-text distribution unavailable,statistical text substrate unavailable,scenario stress test only; no paper-facing positive claim,none for this scenario
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,tee_or_2pc_public_watermark_protocol,trusted_protocol_transcript,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,zk_inference_proof,cryptographic_proof_object,FAILS_NO_PROTOCOL_SUBSTRATE,no,trusted proof/protocol transcript unavailable,scenario lacks protocol transcript,scenario stress test only; no paper-facing positive claim,none for protocol family
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,signed_metadata,metadata_signature,FAILS_METADATA_STRIPPED,no,metadata substrate unavailable,metadata does not travel with this scenario,scenario stress test only; no paper-facing positive claim,none unless scenario changes
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,model_fingerprint_or_trigger,model_behavior_under_chosen_prompts,UNTESTED_API_DEPENDENT,yes,current artifacts do not evaluate suspect-model challenge prompts,requires API access and separate fingerprint/trigger tests,scenario stress test only; no paper-facing positive claim,API-only behavioral challenge suite if this scenario becomes active
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,provider_side_trace,provider_generation_log,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,first_divergence_diagnostic,tokenizer_native_provider_trace_event,FAILS_NO_TRACE_SUBSTRATE,no,Qwen protected 94/96; Llama protected 96/96; controls clean in corpus,provider-side trace unavailable in this scenario,scenario stress test only; no paper-facing positive claim,use metadata/protocol substrate or classify as unsupported
figure_5_ownership_scenario_heatmap,S7_distilled_or_fine_tuned_descendant_model,Distilled or fine-tuned descendant model,public_deterministic_text_predicate,final_text_and_public_predicate,FAILS_NO_FINAL_TEXT_SUBSTRATE,no,public final-text codeword recovered blocks total = 0,final text is not the evidence substrate in this scenario,scenario stress test only; no paper-facing positive claim,none for final-text predicate
