figure_id,attack_family,source_id,model_family,candidate_arm,budget_label,candidate_count,accepted_count,accept_rate,new_accept_count,enrichment_vs_deterministic,public_predicate_query_cost,primary_transform_or_ranking,claim_scope
figure_4_public_predicate_attack_ladder,rejection_sampling,llama_locked_adopted_880121,llama,raw,10000,10000,391,0.0391,,,10000,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rejection_sampling,llama_locked_adopted_880121,llama,raw,100000,19872,771,0.03879830917874396,,,19872,deterministic_query_order,source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,rewrite_lite,qwen_locked_adopted_870210_plus_870987,qwen,raw,full_pool,19312,9868,0.5109776304888153,6232,,19312,prepend_public_accepted_opener,rewrite_public_predicate_spoofability_only_not_protected_success
figure_4_public_predicate_attack_ladder,rewrite_lite,qwen_locked_adopted_870210_plus_870987,qwen,raw,full_pool,19312,10573,0.547483429991715,7108,,19312,replace_opener_with_public_accepted_opener,rewrite_public_predicate_spoofability_only_not_protected_success
figure_4_public_predicate_attack_ladder,rewrite_lite,qwen_locked_adopted_870210_plus_870987,qwen,task_only,full_pool,19312,9864,0.5107705053852527,6214,,19312,prepend_public_accepted_opener,rewrite_public_predicate_spoofability_only_not_protected_success
figure_4_public_predicate_attack_ladder,rewrite_lite,qwen_locked_adopted_870210_plus_870987,qwen,task_only,full_pool,19312,10446,0.540907207953604,6957,,19312,replace_opener_with_public_accepted_opener,rewrite_public_predicate_spoofability_only_not_protected_success
figure_4_public_predicate_attack_ladder,rewrite_lite,llama_locked_adopted_880121,llama,raw,full_pool,19872,8728,0.4392109500805153,7973,,19872,prepend_public_accepted_opener,rewrite_public_predicate_spoofability_only_not_protected_success
figure_4_public_predicate_attack_ladder,rewrite_lite,llama_locked_adopted_880121,llama,raw,full_pool,19872,10121,0.5093095813204509,9384,,19872,replace_opener_with_public_accepted_opener,rewrite_public_predicate_spoofability_only_not_protected_success
figure_4_public_predicate_attack_ladder,distillation_lite,qwen_locked_adopted_870210_plus_870987,qwen,raw,25,25,9,0.36,,1.7999999999999998,25,distillation_lite_surrogate,distillation_lite_source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,distillation_lite,qwen_locked_adopted_870210_plus_870987,qwen,raw,100,100,51,0.51,,2.3181818181818183,100,distillation_lite_surrogate,distillation_lite_source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,distillation_lite,qwen_locked_adopted_870210_plus_870987,qwen,task_only,25,25,9,0.36,,3.0,25,distillation_lite_surrogate,distillation_lite_source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,distillation_lite,qwen_locked_adopted_870210_plus_870987,qwen,task_only,100,100,38,0.38,,2.5333333333333337,100,distillation_lite_surrogate,distillation_lite_source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,distillation_lite,llama_locked_adopted_880121,llama,raw,25,25,6,0.24,,,25,distillation_lite_surrogate,distillation_lite_source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,distillation_lite,llama_locked_adopted_880121,llama,raw,100,100,20,0.2,,20.0,100,distillation_lite_surrogate,distillation_lite_source_mismatch_public_predicate_accept_not_protected_success
figure_4_public_predicate_attack_ladder,public_predicate_guided_rewrite_graft,qwen_locked_adopted_870210_plus_870987,qwen,raw,25,25,25,1.0,,5.0,850,public_predicate_guided_best_rewrite,source_mismatch_public_predicate_guided_rewrite_spoofing_not_protected_success
figure_4_public_predicate_attack_ladder,public_predicate_guided_rewrite_graft,qwen_locked_adopted_870210_plus_870987,qwen,raw,100,100,100,1.0,,4.545454545454546,3400,public_predicate_guided_best_rewrite,source_mismatch_public_predicate_guided_rewrite_spoofing_not_protected_success
figure_4_public_predicate_attack_ladder,public_predicate_guided_rewrite_graft,qwen_locked_adopted_870210_plus_870987,qwen,task_only,25,25,25,1.0,,6.25,850,public_predicate_guided_best_rewrite,source_mismatch_public_predicate_guided_rewrite_spoofing_not_protected_success
figure_4_public_predicate_attack_ladder,public_predicate_guided_rewrite_graft,qwen_locked_adopted_870210_plus_870987,qwen,task_only,100,100,100,1.0,,7.142857142857142,3400,public_predicate_guided_best_rewrite,source_mismatch_public_predicate_guided_rewrite_spoofing_not_protected_success
figure_4_public_predicate_attack_ladder,public_predicate_guided_rewrite_graft,llama_locked_adopted_880121,llama,raw,25,25,25,1.0,,12.5,850,public_predicate_guided_best_rewrite,source_mismatch_public_predicate_guided_rewrite_spoofing_not_protected_success
figure_4_public_predicate_attack_ladder,public_predicate_guided_rewrite_graft,llama_locked_adopted_880121,llama,raw,100,100,100,1.0,,25.0,3400,public_predicate_guided_best_rewrite,source_mismatch_public_predicate_guided_rewrite_spoofing_not_protected_success
