shard_id,condition,coordinate_id,zero_votes,one_votes,ambiguous_votes,support,top_first_words
shard_02,task_only,22,0,0,0,0,ensure:17;keep:9;clearly:8;start:8;set:5
shard_02,task_only,26,0,4,0,4,ensure:13;clearly:11;start:9;check:4;always:4
shard_02,task_only,1,0,0,0,0,ensure:14;clearly:12;start:9;create:4;make:3
shard_02,task_only,17,0,0,0,0,start:13;clearly:12;ensure:12;check:5;always:4
shard_02,task_only,19,3,0,0,3,ensure:15;clearly:11;start:11;keep:6;focus:3
shard_02,task_only,15,0,0,0,0,ensure:12;start:11;clearly:7;create:6;always:5
shard_02,task_only,31,0,0,0,0,ensure:18;start:12;clearly:8;set:4;keep:4
shard_02,task_only,8,0,0,0,0,start:14;ensure:10;clearly:9;check:9;create:6
shard_02,task_only,4,0,0,0,0,ensure:17;keep:9;clearly:8;start:8;set:5
shard_02,task_only,7,0,4,0,4,ensure:13;clearly:11;start:9;check:4;always:4
shard_02,task_only,23,0,0,0,0,ensure:14;clearly:12;start:9;create:4;make:3
shard_03,protected,6,5,5,0,10,focus:13;ensure:12;create:8;start:7;check:5
shard_03,protected,22,0,17,0,17,ensure:15;outline:9;focus:8;start:6;schedule:5
shard_03,protected,26,12,2,0,14,ensure:16;map:10;focus:8;start:6;clearly:4
shard_03,protected,1,0,19,0,19,ensure:18;organize:17;focus:7;clearly:6;keep:5
shard_03,protected,17,0,9,0,9,focus:12;ensure:11;start:10;schedule:9;check:6
shard_03,protected,19,34,0,0,34,check:18;map:12;focus:7;ensure:7;review:4
shard_03,protected,15,19,0,0,19,organize:18;ensure:11;focus:7;clearly:5;create:3
shard_03,protected,31,15,0,0,15,ensure:14;schedule:10;focus:7;clearly:6;prioritize:5
shard_03,protected,8,0,16,0,16,focus:11;ensure:9;review:9;start:7;map:7
shard_03,protected,4,20,0,0,20,ensure:16;organize:15;focus:8;keep:5;start:4
shard_03,protected,7,0,22,0,22,check:19;start:10;ensure:7;focus:6;clearly:6
shard_03,protected,23,0,18,0,18,ensure:19;organize:17;focus:7;clearly:6;keep:5
shard_03,raw,6,6,0,0,6,ensure:13;focus:13;create:8;start:7;clearly:7
shard_03,raw,22,0,0,0,0,ensure:18;start:8;focus:8;create:6;keep:5
shard_03,raw,26,0,3,0,3,ensure:16;start:11;focus:8;clearly:6;create:5
shard_03,raw,1,0,0,0,0,ensure:22;focus:9;clearly:8;start:6;keep:6
shard_03,raw,17,0,0,0,0,focus:12;ensure:12;start:10;create:7;check:6
shard_03,raw,19,1,0,0,1,ensure:21;focus:9;start:8;clearly:5;create:4
shard_03,raw,15,0,0,0,0,ensure:14;focus:9;start:6;clearly:6;create:5
shard_03,raw,31,0,0,0,0,ensure:17;focus:8;start:7;keep:6;clearly:6
shard_03,raw,8,0,0,0,0,ensure:13;focus:13;create:8;start:7;clearly:7
shard_03,raw,4,0,0,0,0,ensure:18;start:8;focus:8;create:6;keep:5
shard_03,raw,7,0,3,0,3,ensure:16;start:11;focus:8;clearly:6;create:5
shard_03,raw,23,0,0,0,0,ensure:22;focus:9;clearly:8;start:6;keep:6
shard_03,task_only,6,6,0,0,6,ensure:13;start:10;create:9;check:6;clearly:6
shard_03,task_only,22,0,0,0,0,ensure:17;start:10;create:7;clearly:5;focus:5
shard_03,task_only,26,0,3,0,3,ensure:14;start:12;focus:7;clearly:6;set:4
shard_03,task_only,1,0,0,0,0,ensure:22;start:9;clearly:7;focus:4;create:4
shard_03,task_only,17,0,0,0,0,ensure:11;start:9;create:8;clearly:8;focus:7
shard_03,task_only,19,3,0,0,3,ensure:20;start:9;clearly:5;set:4;create:4
shard_03,task_only,15,0,0,0,0,ensure:14;start:9;create:8;clearly:6;check:5
shard_03,task_only,31,0,0,0,0,ensure:20;start:9;clearly:7;create:5;set:4
shard_03,task_only,8,0,0,0,0,ensure:13;start:10;create:9;check:6;clearly:6
shard_03,task_only,4,0,0,0,0,ensure:17;start:10;create:7;clearly:5;focus:5
shard_03,task_only,7,0,3,0,3,ensure:14;start:12;focus:7;clearly:6;set:4
shard_03,task_only,23,0,0,0,0,ensure:22;start:9;clearly:7;focus:4;create:4
