shard_index,shard_id,status,checked_rows,invalid_rows,source_shard_dir
35,shard_35,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_35
36,shard_36,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_36
37,shard_37,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_37
38,shard_38,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_38
39,shard_39,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_39
40,shard_40,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_40
41,shard_41,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_41
42,shard_42,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_42
43,shard_43,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_43
44,shard_44,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_44
45,shard_45,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_45
46,shard_46,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_46
47,shard_47,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_47
48,shard_48,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_48
49,shard_49,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_49
50,shard_50,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_50
51,shard_51,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_51
52,shard_52,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_52
53,shard_53,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_53
54,shard_54,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_54
55,shard_55,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_55
56,shard_56,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_56
57,shard_57,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_57
58,shard_58,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_58
59,shard_59,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_59
60,shard_60,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_60
61,shard_61,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_61
62,shard_62,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_62
63,shard_63,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_63
64,shard_64,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_64
65,shard_65,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_65
66,shard_66,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_66
67,shard_67,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_67
68,shard_68,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_68
69,shard_69,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_69
70,shard_70,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_70
71,shard_71,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_71
72,shard_72,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_72
73,shard_73,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_73
74,shard_74,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_74
75,shard_75,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_75
76,shard_76,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_76
77,shard_77,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_77
78,shard_78,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_78
79,shard_79,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_79
80,shard_80,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_80
81,shard_81,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_81
82,shard_82,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_82
83,shard_83,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_83
84,shard_84,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_84
85,shard_85,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_85
86,shard_86,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_86
87,shard_87,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_87
88,shard_88,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_88
89,shard_89,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_89
90,shard_90,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_90
91,shard_91,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_91
92,shard_92,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_92
93,shard_93,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_93
94,shard_94,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_94
95,shard_95,PASS_R4_FIRST_TOKEN_EVENT_TRACE_BINDING,2048,0,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_95
