shard_index,source_shard_dir,block_id,arm,source_condition,accept,accept_ignoring_quality,complete_pairs,required_pairs,decoded_bits,expected_bits,bits_match_condition,checksum_valid,forbidden_public_surface_count,duplicate_response_hash_count
5,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_05,shard_05_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
5,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_05,shard_05_block_00,raw,raw,False,False,6,8,01100--1,10100101,False,False,0,0
5,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_05,shard_05_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
5,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_05,shard_05_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
5,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_05,shard_05_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
6,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_06,shard_06_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
6,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_06,shard_06_block_00,raw,raw,False,False,6,8,0100-0-1,10100101,False,False,0,0
6,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_06,shard_06_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
6,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_06,shard_06_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
6,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_06,shard_06_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
7,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_07,shard_07_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
7,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_07,shard_07_block_00,raw,raw,False,False,4,8,01-0---1,10100101,False,False,0,0
7,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_07,shard_07_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
7,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_07,shard_07_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
7,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_07,shard_07_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
8,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_08,shard_08_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
8,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_08,shard_08_block_00,raw,raw,False,False,7,8,0100-011,10100101,False,False,0,0
8,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_08,shard_08_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
8,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_08,shard_08_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
8,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_08,shard_08_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
9,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_09,shard_09_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
9,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_09,shard_09_block_00,raw,raw,False,False,6,8,01-0-111,10100101,False,False,0,0
9,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_09,shard_09_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
9,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_09,shard_09_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
9,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_09,shard_09_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
10,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_10,shard_10_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
10,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_10,shard_10_block_00,raw,raw,False,False,8,8,01100011,10100101,False,False,0,0
10,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_10,shard_10_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
10,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_10,shard_10_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
10,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_10,shard_10_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
11,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_11,shard_11_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
11,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_11,shard_11_block_00,raw,raw,False,False,8,8,01100111,10100101,False,False,0,0
11,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_11,shard_11_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
11,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_11,shard_11_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
11,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_11,shard_11_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
12,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_12,shard_12_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
12,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_12,shard_12_block_00,raw,raw,False,False,7,8,01-00011,10100101,False,False,0,0
12,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_12,shard_12_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
12,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_12,shard_12_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
12,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_12,shard_12_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
13,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_13,shard_13_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
13,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_13,shard_13_block_00,raw,raw,False,False,6,8,01-00-11,10100101,False,False,0,0
13,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_13,shard_13_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
13,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_13,shard_13_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
13,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_13,shard_13_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
14,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_14,shard_14_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
14,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_14,shard_14_block_00,raw,raw,False,False,8,8,01100001,10100101,False,False,0,0
14,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_14,shard_14_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
14,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_14,shard_14_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
14,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_14,shard_14_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
15,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_15,shard_15_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
15,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_15,shard_15_block_00,raw,raw,False,False,7,8,01100-01,10100101,False,False,0,0
15,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_15,shard_15_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
15,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_15,shard_15_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
15,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_15,shard_15_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
16,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_16,shard_16_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
16,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_16,shard_16_block_00,raw,raw,False,False,8,8,01100111,10100101,False,False,0,0
16,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_16,shard_16_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
16,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_16,shard_16_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
16,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_16,shard_16_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
17,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_17,shard_17_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
17,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_17,shard_17_block_00,raw,raw,False,False,8,8,01000011,10100101,False,False,0,0
17,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_17,shard_17_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
17,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_17,shard_17_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
17,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_17,shard_17_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
18,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_18,shard_18_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
18,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_18,shard_18_block_00,raw,raw,False,False,6,8,01000--1,10100101,False,False,0,0
18,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_18,shard_18_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
18,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_18,shard_18_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
18,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_18,shard_18_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
19,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_19,shard_19_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
19,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_19,shard_19_block_00,raw,raw,False,False,7,8,01-00011,10100101,False,False,0,0
19,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_19,shard_19_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
19,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_19,shard_19_block_00,wrong_key,protected,False,False,8,8,10100101,01110011,False,True,0,0
19,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_19,shard_19_block_00,wrong_payload,protected,False,False,8,8,10100101,01011010,False,True,0,0
20,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_20,shard_20_block_00,protected,protected,True,True,8,8,10100101,10100101,True,True,0,0
20,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_20,shard_20_block_00,raw,raw,False,False,6,8,01-000-1,10100101,False,False,0,0
20,/Users/guanjie/Documents/tokenizer_alignment/results/natural_evidence_v2/status/r4_after_879458_repair_second_family_llama_locked_scale_generation_879555_raw/llama3_1_8b_instruct/shards/shard_20,shard_20_block_00,task_only,task_only,False,False,0,8,--------,10100101,False,False,0,0
