source_id,model_family,variant_id,arm,block_id,rows,mean_score,row_accept_rate,block_detected
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_02,256,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_03,240,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_04,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_05,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_06,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_07,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_08,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_09,272,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_10,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_11,112,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_12,256,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_13,272,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_14,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,raw,shard_15,72,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_00,208,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_01,128,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_02,256,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_03,240,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_04,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_05,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_06,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_07,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_08,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_09,272,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_10,160,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_11,112,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_12,256,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_13,272,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_14,176,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,V0_always_reject_final_text_only,task_only,shard_15,72,0.0,0.0,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_00,208,0.04807692307692308,0.04807692307692308,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_01,128,0.0625,0.0625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_02,256,0.046875,0.046875,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_03,240,0.041666666666666664,0.041666666666666664,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_04,176,0.045454545454545456,0.045454545454545456,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_05,160,0.075,0.075,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_06,176,0.07954545454545454,0.07954545454545454,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_07,176,0.056818181818181816,0.056818181818181816,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_08,160,0.03125,0.03125,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_09,272,0.025735294117647058,0.025735294117647058,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_10,160,0.075,0.075,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_11,112,0.026785714285714284,0.026785714285714284,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_12,256,0.0234375,0.0234375,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_13,272,0.022058823529411766,0.022058823529411766,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_14,176,0.011363636363636364,0.011363636363636364,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,protected,shard_15,72,0.09722222222222222,0.09722222222222222,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_00,208,0.07211538461538461,0.07211538461538461,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_01,128,0.0859375,0.0859375,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_02,256,0.0625,0.0625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_03,240,0.058333333333333334,0.058333333333333334,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_04,176,0.05113636363636364,0.05113636363636364,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_05,160,0.05625,0.05625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_06,176,0.056818181818181816,0.056818181818181816,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_07,176,0.06818181818181818,0.06818181818181818,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_08,160,0.0125,0.0125,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_09,272,0.025735294117647058,0.025735294117647058,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_10,160,0.0625,0.0625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_11,112,0.008928571428571428,0.008928571428571428,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_12,256,0.03515625,0.03515625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_13,272,0.014705882352941176,0.014705882352941176,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_14,176,0.017045454545454544,0.017045454545454544,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,raw,shard_15,72,0.125,0.125,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_00,208,0.03365384615384615,0.03365384615384615,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_01,128,0.0703125,0.0703125,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_02,256,0.09765625,0.09765625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_03,240,0.03333333333333333,0.03333333333333333,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_04,176,0.03409090909090909,0.03409090909090909,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_05,160,0.0625,0.0625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_06,176,0.0625,0.0625,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_07,176,0.07954545454545454,0.07954545454545454,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_08,160,0.01875,0.01875,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_09,272,0.014705882352941176,0.014705882352941176,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_10,160,0.05,0.05,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_11,112,0.008928571428571428,0.008928571428571428,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_12,256,0.0234375,0.0234375,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_13,272,0.007352941176470588,0.007352941176470588,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_14,176,0.022727272727272728,0.022727272727272728,False
qwen_dev_869348_local_text_probe,qwen,P0_prefix_template_public_predicate,task_only,shard_15,72,0.08333333333333333,0.08333333333333333,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_00,208,1.0375659909619914,0.34615384615384615,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_01,128,-0.10680713617946071,0.25,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_02,256,0.7089253178224046,0.31640625,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_03,240,0.47101544786388666,0.2916666666666667,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_04,176,0.9251289313397983,0.2897727272727273,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_05,160,0.6779194775056792,0.30625,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_06,176,-0.4721122486739077,0.25,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_07,176,0.8328191369685993,0.3352272727272727,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_08,160,0.4274453231568399,0.3,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_09,272,1.9575674382788,0.3897058823529412,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_10,160,0.871669215585708,0.25625,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_11,112,1.7627243650818252,0.36607142857142855,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_12,256,1.051388744141886,0.3125,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_13,272,1.723113246083658,0.39338235294117646,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_14,176,1.5958625424419197,0.36363636363636365,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,protected,shard_15,72,1.7420504662180525,0.3472222222222222,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_00,208,-0.8035689812941853,0.18269230769230768,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_01,128,-1.1626542598456684,0.203125,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_02,256,-0.5061598122649729,0.20703125,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_03,240,-0.7850850732108952,0.21666666666666667,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_04,176,-0.3448158292637001,0.1875,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_05,160,0.1927786677730811,0.2875,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_06,176,-0.9707124234719057,0.17613636363636365,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_07,176,-0.684748573377384,0.2159090909090909,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_08,160,-0.06253572344751823,0.2625,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_09,272,0.4364877646955685,0.28308823529411764,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_10,160,-0.07257199675448232,0.25625,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_11,112,0.7527374682988389,0.3392857142857143,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_12,256,-0.02668232331740312,0.21484375,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_13,272,0.6462497031339876,0.3235294117647059,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_14,176,0.036299152762396945,0.22727272727272727,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,raw,shard_15,72,-0.06761719456167795,0.25,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_00,208,-0.354549976612749,0.21634615384615385,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_01,128,-0.8272638645183857,0.203125,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_02,256,0.05465636521332112,0.25,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_03,240,-0.08931440386109007,0.275,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_04,176,-0.5892610241067859,0.18181818181818182,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_05,160,-0.2679545900126473,0.225,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_06,176,-1.1111538369155334,0.21022727272727273,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_07,176,-1.051513517350795,0.17613636363636365,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_08,160,-0.1524108387463092,0.26875,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_09,272,0.3191042952152222,0.27205882352941174,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_10,160,-1.1379186373348493,0.18125,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_11,112,0.4898455026006306,0.32142857142857145,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_12,256,0.21963382085819558,0.25390625,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_13,272,0.6739041208693686,0.3125,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_14,176,0.09515846211941054,0.2784090909090909,False
qwen_dev_869348_local_text_probe,qwen,P2_learned_shallow_public_predicate,task_only,shard_15,72,0.5098315255910661,0.2777777777777778,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_00,208,0.6030984930185692,0.10096153846153846,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_01,128,-3.5636469214335547,0.0390625,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_02,256,2.5154229386578772,0.10546875,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_03,240,2.4103456938129306,0.09166666666666666,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_04,176,1.8969081607525533,0.07954545454545454,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_05,160,0.3966979016145483,0.08125,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_06,176,0.3794381165712448,0.06818181818181818,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_07,176,3.499594345800949,0.09090909090909091,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_08,160,3.407958521684521,0.0875,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_09,272,8.737337692892496,0.13602941176470587,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_10,160,3.4309955746364134,0.10625,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_11,112,10.461788628398681,0.1875,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_12,256,6.148287973256293,0.125,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_13,272,8.86187636648649,0.16911764705882354,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_14,176,4.354792213972086,0.11363636363636363,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,protected,shard_15,72,3.066981171434639,0.09722222222222222,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_00,208,-4.994388618636403,0.028846153846153848,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_01,128,-5.544173462531456,0.0234375,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_02,256,-1.0321790908953947,0.05859375,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_03,240,-1.2639635083691843,0.041666666666666664,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_04,176,-1.591172539809168,0.028409090909090908,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_05,160,0.8059318093515717,0.075,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_06,176,-3.990092938368464,0.011363636363636364,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_07,176,-0.9513125669245492,0.0625,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_08,160,-0.5807173928512578,0.0375,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_09,272,3.928652629888808,0.08823529411764706,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_10,160,1.1373767578660028,0.04375,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_11,112,5.722747501414785,0.11607142857142858,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_12,256,0.604989456697676,0.03125,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_13,272,2.739272312517525,0.10661764705882353,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_14,176,-1.949741267539714,0.03977272727272727,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,raw,shard_15,72,-4.353872043969072,0.041666666666666664,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_00,208,-2.2762461161902947,0.03365384615384615,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_01,128,-6.083055404226955,0.0078125,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_02,256,0.991607296025439,0.05859375,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_03,240,-1.6103718407597327,0.05416666666666667,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_04,176,-2.9048767648963616,0.0,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_05,160,-3.1540779415857605,0.025,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_06,176,-3.4373005960226823,0.005681818181818182,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_07,176,-2.6462224203319034,0.03409090909090909,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_08,160,-2.8318463174121384,0.03125,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_09,272,3.057812137588065,0.051470588235294115,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_10,160,-1.657114760158148,0.025,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_11,112,6.40048199178515,0.08928571428571429,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_12,256,2.458808217459877,0.046875,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_13,272,3.2536125749409397,0.07352941176470588,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_14,176,0.04921177477313546,0.03409090909090909,False
qwen_dev_869348_local_text_probe,qwen,P4_char_ngram_public_predicate,task_only,shard_15,72,-1.3932485390241645,0.041666666666666664,False
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_00,208,1.8864932942573835,0.5769230769230769,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_01,128,0.40716883223463235,0.6015625,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_02,256,1.5955100114593288,0.6171875,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_03,240,1.2817797491292853,0.575,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_04,176,1.235166710729626,0.5625,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_05,160,1.7551225042005338,0.6,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_06,176,-0.6105854303596163,0.5227272727272727,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_07,176,2.106616459798444,0.625,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_08,160,0.9159260436226789,0.5875,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_09,272,4.159677596803322,0.7022058823529411,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_10,160,1.9616748731330926,0.64375,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_11,112,4.119676406506091,0.6607142857142857,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_12,256,1.7758544969626682,0.61328125,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_13,272,4.096000834822757,0.6801470588235294,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_14,176,4.684868025117611,0.6704545454545454,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,protected,shard_15,72,4.5928734875089665,0.625,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_00,208,-1.6265303289466488,0.5144230769230769,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_01,128,-1.9326868141080915,0.484375,False
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_02,256,-2.1146762393497793,0.48828125,False
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_03,240,-1.8774349391208895,0.4875,False
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_04,176,-1.4138080156373378,0.5170454545454546,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_05,160,-0.09744370253420502,0.55,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_06,176,-1.5685482992831878,0.5284090909090909,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_07,176,-1.734996594651205,0.5284090909090909,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_08,160,-0.49650933433988137,0.55,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_09,272,0.7490889478647247,0.6507352941176471,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_10,160,0.4982179387159296,0.60625,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_11,112,1.6309002561580008,0.6071428571428571,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_12,256,0.12887418086861563,0.578125,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_13,272,1.0106995898975282,0.6139705882352942,True
qwen_dev_869348_local_text_probe,qwen,P5_word_trigram_public_predicate,raw,shard_14,176,0.048106133223349515,0.5852272727272727,True
